trial,t_ms,flywire_id,v_mv
0,0.0,10001,-52.000
0,0.0,10010,-52.000
0,0.1,10001,-52.000
0,0.1,10010,-52.000
0,0.2,10001,-52.000
0,0.2,10010,-52.000
0,0.3,10001,-52.000
0,0.3,10010,-52.000
0,0.4,10001,-52.000
0,0.4,10010,-52.000
0,0.5,10001,-52.000
0,0.5,10010,-52.000
0,0.6,10001,-52.000
0,0.6,10010,-52.000
0,0.7,10001,-52.000
0,0.7,10010,-52.000
0,0.8,10001,-52.000
0,0.8,10010,-52.000
0,0.9,10001,-52.000
0,0.9,10010,-52.000
0,1.0,10001,-52.000
0,1.0,10010,-52.000
0,1.1,10001,-52.000
0,1.1,10010,-52.000
0,1.2,10001,-52.000
0,1.2,10010,-52.000
0,1.3,10001,-52.000
0,1.3,10010,-52.000
0,1.4,10001,-52.000
0,1.4,10010,-52.000
0,1.5,10001,-52.000
0,1.5,10010,-52.000
0,1.6,10001,-52.000
0,1.6,10010,-52.000
0,1.7,10001,-52.000
0,1.7,10010,-52.000
0,1.8,10001,-52.000
0,1.8,10010,-52.000
0,1.9,10001,-52.000
0,1.9,10010,-52.000
0,2.0,10001,-52.000
0,2.0,10010,-52.000
0,2.1,10001,-52.000
0,2.1,10010,-52.000
0,2.2,10001,-52.000
0,2.2,10010,-52.000
0,2.3,10001,-52.000
0,2.3,10010,-52.000
0,2.4,10001,-52.000
0,2.4,10010,-52.000
0,2.5,10001,-52.000
0,2.5,10010,-52.000
0,2.6,10001,-52.000
0,2.6,10010,-52.000
0,2.7,10001,-52.000
0,2.7,10010,-52.000
0,2.8,10001,-52.000
0,2.8,10010,-52.000
0,2.9,10001,-52.000
0,2.9,10010,-52.000
0,3.0,10001,-52.000
0,3.0,10010,-52.000
0,3.1,10001,-52.000
0,3.1,10010,-52.000
0,3.2,10001,-52.000
0,3.2,10010,-52.000
0,3.3,10001,-52.000
0,3.3,10010,-52.000
0,3.4,10001,-52.000
0,3.4,10010,-52.000
0,3.5,10001,-52.000
0,3.5,10010,-52.000
0,3.6,10001,-52.000
0,3.6,10010,-52.000
0,3.7,10001,-52.000
0,3.7,10010,-52.000
0,3.8,10001,-52.000
0,3.8,10010,-52.000
0,3.9,10001,-52.000
0,3.9,10010,-52.000
0,4.0,10001,-52.000
0,4.0,10010,-52.000
0,4.1,10001,-52.000
0,4.1,10010,-52.000
0,4.2,10001,-52.000
0,4.2,10010,-52.000
0,4.3,10001,-52.000
0,4.3,10010,-52.000
0,4.4,10001,-52.000
0,4.4,10010,-52.000
0,4.5,10001,-52.000
0,4.5,10010,-52.000
