trial,t_ms,flywire_id,v_mv
0,0.0,10001,-52.000
0,0.0,10010,-52.000
0,0.1,10001,-52.000
0,0.1,10010,-52.000
0,0.2,10001,-52.000
0,0.2,10010,-52.000
0,0.3,10001,-52.000
0,0.3,10010,-52.000
0,0.4,10001,-52.000
0,0.4,10010,-52.000
0,0.5,10001,-52.000
0,0.5,10010,-52.000
0,0.6,10001,-52.000
0,0.6,10010,-52.000
0,0.7,10001,-52.000
0,0.7,10010,-52.000
0,0.8,10001,-52.000
0,0.8,10010,-52.000
0,0.9,10001,-52.000
0,0.9,10010,-52.000
0,1.0,10001,-52.000
0,1.0,10010,-52.000
0,1.1,10001,-52.000
0,1.1,10010,-52.000
0,1.2,10001,-52.000
0,1.2,10010,-52.000
0,1.3,10001,-52.000
0,1.3,10010,-52.000
0,1.4,10001,-52.000
0,1.4,10010,-52.000
0,1.5,10001,-52.000
0,1.5,10010,-52.000
0,1.6,10001,-52.000
0,1.6,10010,-52.000
0,1.7,10001,-52.000
0,1.7,10010,-52.000
0,1.8,10001,-52.000
0,1.8,10010,-52.000
0,1.9,10001,-52.000
0,1.9,10010,-51.951
0,2.0,10001,-52.000
0,2.0,10010,-51.904
0,2.1,10001,-51.961
0,2.1,10010,-51.858
0,2.2,10001,-51.832
0,2.2,10010,-51.813
0,2.3,10001,-51.566
0,2.3,10010,-51.720
0,2.4,10001,-51.306
0,2.4,10010,-51.630
0,2.5,10001,-51.053
0,2.5,10010,-51.542
0,2.6,10001,-50.666
0,2.6,10010,-51.392
0,2.7,10001,-50.237
0,2.7,10010,-51.173
0,2.8,10001,-49.819
0,2.8,10010,-50.876
0,2.9,10001,-49.412
0,2.9,10010,-50.509
0,3.0,10001,-48.973
0,3.0,10010,-50.103
0,3.1,10001,-48.512
0,3.1,10010,-49.638
0,3.2,10001,-48.063
0,3.2,10010,-49.151
0,3.3,10001,-47.626
0,3.3,10010,-48.620
0,3.4,10001,-47.120
0,3.4,10010,-48.102
0,3.5,10001,-46.556
0,3.5,10010,-47.597
0,3.6,10001,-45.900
0,3.6,10010,-47.105
0,3.7,10001,-45.224
0,3.7,10010,-46.588
0,3.8,10001,-44.565
0,3.8,10010,-46.040
0,3.9,10001,-52.000
0,3.9,10010,-45.505
0,4.0,10001,-52.000
0,4.0,10010,-44.858
0,4.1,10001,-52.000
0,4.1,10010,-52.000
0,4.2,10001,-52.000
0,4.2,10010,-52.000
0,4.3,10001,-52.000
0,4.3,10010,-52.000
0,4.4,10001,-52.000
0,4.4,10010,-52.000
0,4.5,10001,-52.000
0,4.5,10010,-52.000
