trial,t_ms,flywire_id,v_mv
0,0.0,10001,-52.000
0,0.0,10010,-52.000
0,0.1,10001,-52.000
0,0.1,10010,-52.000
0,0.2,10001,-52.000
0,0.2,10010,-52.000
0,0.3,10001,-52.000
0,0.3,10010,-52.000
0,0.4,10001,-52.000
0,0.4,10010,-52.000
0,0.5,10001,-52.000
0,0.5,10010,-52.000
0,0.6,10001,-52.000
0,0.6,10010,-52.000
0,0.7,10001,-52.000
0,0.7,10010,-52.000
0,0.8,10001,-52.000
0,0.8,10010,-52.000
0,0.9,10001,-52.000
0,0.9,10010,-52.000
0,1.0,10001,-52.000
0,1.0,10010,-52.000
0,1.1,10001,-52.000
0,1.1,10010,-52.000
0,1.2,10001,-52.000
0,1.2,10010,-52.000
0,1.3,10001,-52.000
0,1.3,10010,-52.000
0,1.4,10001,-52.000
0,1.4,10010,-52.000
0,1.5,10001,-52.000
0,1.5,10010,-52.000
0,1.6,10001,-52.000
0,1.6,10010,-52.000
0,1.7,10001,-52.000
0,1.7,10010,-52.000
0,1.8,10001,-51.968
0,1.8,10010,-52.000
0,1.9,10001,-51.911
0,1.9,10010,-51.947
0,2.0,10001,-51.771
0,2.0,10010,-51.855
0,2.1,10001,-51.552
0,2.1,10010,-51.725
0,2.2,10001,-51.287
0,2.2,10010,-51.456
0,2.3,10001,-50.868
0,2.3,10010,-51.148
0,2.4,10001,-50.423
0,2.4,10010,-50.763
0,2.5,10001,-49.974
0,2.5,10010,-50.281
0,2.6,10001,-49.524
0,2.6,10010,-49.812
0,2.7,10001,-49.053
0,2.7,10010,-49.286
0,2.8,10001,-48.487
0,2.8,10010,-48.703
0,2.9,10001,-47.880
0,2.9,10010,-48.058
0,3.0,10001,-47.213
0,3.0,10010,-47.316
0,3.1,10001,-46.518
0,3.1,10010,-46.553
0,3.2,10001,-45.840
0,3.2,10010,-45.810
0,3.3,10001,-45.128
0,3.3,10010,-44.889
0,3.4,10001,-44.374
0,3.4,10010,-52.000
0,3.5,10001,-52.000
0,3.5,10010,-52.000
0,3.6,10001,-52.000
0,3.6,10010,-52.000
0,3.7,10001,-52.000
0,3.7,10010,-52.000
0,3.8,10001,-52.000
0,3.8,10010,-52.000
0,3.9,10001,-52.000
0,3.9,10010,-52.000
0,4.0,10001,-52.000
0,4.0,10010,-52.000
0,4.1,10001,-52.000
0,4.1,10010,-52.000
0,4.2,10001,-52.000
0,4.2,10010,-52.000
0,4.3,10001,-52.000
0,4.3,10010,-52.000
0,4.4,10001,-52.000
0,4.4,10010,-52.000
0,4.5,10001,-52.000
0,4.5,10010,-52.000
