trial,t,flywire_id
0,0.0000,13132
0,0.0000,17478
0,0.0000,20917
0,0.0000,21165
0,0.0000,21313
0,0.0000,22034
0,0.0000,30207
0,0.0000,512366
0,0.0001,18432
0,0.0001,21562
0,0.0001,21804
0,0.0001,26730
0,0.0001,536444
0,0.0002,17340
0,0.0002,19549
0,0.0002,20749
0,0.0002,21287
0,0.0002,29873
0,0.0002,31105
0,0.0002,33137
0,0.0002,518544
0,0.0003,12824
0,0.0003,19787
0,0.0003,24401
0,0.0003,33396
0,0.0003,517819
0,0.0004,19420
0,0.0004,23247
0,0.0004,24187
0,0.0004,26416
0,0.0005,11498
0,0.0005,20799
0,0.0005,25584
0,0.0005,524366
0,0.0006,22218
0,0.0006,27355
0,0.0006,525844
0,0.0007,20542
0,0.0007,25511
0,0.0007,25854
0,0.0007,31105
0,0.0007,35262
0,0.0007,514508
0,0.0007,530029
0,0.0008,12032
0,0.0008,518016
0,0.0009,13132
0,0.0009,17270
0,0.0009,17340
0,0.0009,17774
0,0.0009,19249
0,0.0009,19954
0,0.0009,20542
0,0.0009,20584
0,0.0010,13132
0,0.0010,518439
0,0.0010,524366
0,0.0011,20673
0,0.0011,26147
0,0.0011,26393
0,0.0011,27566
0,0.0011,514956
0,0.0012,20334
0,0.0012,29598
0,0.0013,20584
0,0.0013,29955
0,0.0014,17054
0,0.0014,19787
0,0.0014,20399
0,0.0014,20440
0,0.0014,27566
0,0.0014,520449
0,0.0015,12032
0,0.0015,17478
0,0.0015,17608
0,0.0015,23919
0,0.0015,24840
0,0.0015,27716
0,0.0015,30803
0,0.0015,111787
0,0.0015,512366
0,0.0016,17270
0,0.0016,25575
0,0.0016,107513
0,0.0017,20799
0,0.0017,21299
0,0.0017,29417
0,0.0017,30087
0,0.0017,33137
0,0.0018,20240
0,0.0018,21287
0,0.0018,23878
0,0.0018,25267
0,0.0018,25511
0,0.0018,55627
0,0.0018,512366
0,0.0019,20542
0,0.0019,29469
0,0.0019,38542
0,0.0019,107513
0,0.0019,515900
0,0.0019,527408
0,0.0020,13764
0,0.0020,20399
0,0.0020,27566
0,0.0020,29955
0,0.0020,518016
0,0.0021,17668
0,0.0021,32737
0,0.0021,100485
0,0.0021,520764
0,0.0021,525844
0,0.0022,15018
0,0.0022,22922
0,0.0022,23349
0,0.0022,33406
0,0.0022,512705
0,0.0023,17608
0,0.0023,17990
0,0.0023,21703
0,0.0023,22194
0,0.0023,518439
0,0.0024,26730
0,0.0024,28945
0,0.0025,20471
0,0.0025,21721
0,0.0025,22328
0,0.0025,515971
0,0.0025,530029
0,0.0025,535341
0,0.0026,20471
0,0.0026,21336
0,0.0026,32223
0,0.0027,18936
0,0.0027,20162
0,0.0027,29287
0,0.0027,34110
0,0.0027,527408
0,0.0027,531898
0,0.0028,11137
0,0.0028,12349
0,0.0028,21313
0,0.0028,32737
0,0.0028,35294
0,0.0029,10010
0,0.0029,16659
0,0.0029,17270
0,0.0029,17668
0,0.0029,19954
0,0.0029,22922
0,0.0029,23792
0,0.0029,33396
0,0.0030,17775
0,0.0030,24118
0,0.0030,24268
0,0.0030,31262
0,0.0030,517752
0,0.0031,25636
0,0.0031,26147
0,0.0031,26528
0,0.0031,34681
0,0.0031,523564
0,0.0032,20808
0,0.0032,24118
0,0.0032,28980
0,0.0032,31301
0,0.0032,34407
0,0.0032,521115
0,0.0033,10001
0,0.0033,12427
0,0.0033,13132
0,0.0033,16809
0,0.0033,20329
0,0.0033,22922
0,0.0033,27750
0,0.0033,31964
0,0.0033,518731
0,0.0034,12032
0,0.0034,20016
0,0.0034,25253
0,0.0034,31105
0,0.0034,33396
0,0.0034,515476
0,0.0035,12951
0,0.0035,35616
0,0.0036,16475
0,0.0036,19830
0,0.0036,19911
