trial,t,flywire_id
0,0.0000,31308
0,0.0002,18432
0,0.0002,19549
0,0.0002,28044
0,0.0002,34681
0,0.0008,525844
0,0.0009,35294
0,0.0011,20808
0,0.0013,19842
0,0.0013,21808
0,0.0015,18396
0,0.0016,20588
0,0.0018,34655
0,0.0021,31105
0,0.0024,27023
0,0.0028,27023
0,0.0028,35294
0,0.0030,21769
0,0.0034,20584
0,0.0036,22034
0,0.0038,525844
0,0.0045,517819
0,0.0046,525844
0,0.0049,16659
0,0.0051,17270
0,0.0052,19911
0,0.0053,31563
0,0.0054,27023
0,0.0056,25524
0,0.0056,33396
0,0.0056,525844
0,0.0058,19911
0,0.0058,21808
0,0.0059,17926
0,0.0063,11137
0,0.0066,531898
0,0.0068,523564
0,0.0071,10010
0,0.0071,12427
0,0.0076,12951
0,0.0083,10283
0,0.0085,10417
0,0.0087,10001
0,0.0102,10145
0,0.0102,10943
0,0.0104,10361
0,0.0105,10828
0,0.0112,17757
0,0.0114,800012
0,0.0117,10074
0,0.0119,25392
0,0.0124,10855
0,0.0124,531985
0,0.0127,12870
0,0.0135,17522
0,0.0136,534063
0,0.0155,519773
0,0.0158,11630
0,0.0159,18940
0,0.0169,800084
0,0.0174,12175
0,0.0176,12000
0,0.0182,12041
0,0.0190,63441
0,0.0198,75379
0,0.0199,800752
0,0.0204,800606
0,0.0204,801162
0,0.0208,800241
0,0.0213,800847
0,0.0214,801137
0,0.0216,805154
0,0.0226,800190
0,0.0229,800917
0,0.0245,12628
0,0.0250,801350
0,0.0250,807368
0,0.0258,801021
0,0.0265,800906
0,0.0271,10283
0,0.0275,11133
0,0.0308,10001
0,0.0311,10844
0,0.0317,10184
0,0.0321,10091
0,0.0321,11965
0,0.0337,521675
0,0.0342,10323
0,0.0347,14899
0,0.0355,17757
0,0.0359,800012
0,0.0365,11064
0,0.0366,801053
0,0.0375,10840
0,0.0380,63441
0,0.0381,75379
0,0.0391,805425
0,0.0399,800434
0,0.0403,800084
0,0.0409,801162
0,0.0414,801195
0,0.0422,805137
0,0.0438,800606
0,0.0438,800752
0,0.0439,805154
0,0.0442,800241
0,0.0447,800847
0,0.0449,801137
0,0.0457,809085
0,0.0464,800190
0,0.0467,800917
0,0.0469,802399
0,0.0469,903852
0,0.0487,800430
0,0.0489,801350
0,0.0493,807368
0,0.0496,801021
0,0.0504,800906
