trial,t,flywire_id
0,0.0000,25497
0,0.0000,31308
0,0.0001,21299
0,0.0001,23929
0,0.0001,24523
0,0.0002,31429
0,0.0003,20588
0,0.0003,25497
0,0.0005,23098
0,0.0006,13764
0,0.0007,517078
0,0.0008,23550
0,0.0011,12384
0,0.0013,20588
0,0.0015,17653
0,0.0015,22261
0,0.0015,40811
0,0.0017,26393
0,0.0020,25575
0,0.0020,26416
0,0.0021,27796
0,0.0021,28871
0,0.0021,29469
0,0.0022,23098
0,0.0022,31308
0,0.0022,32597
0,0.0024,17544
0,0.0024,22677
0,0.0025,17608
0,0.0025,20572
0,0.0026,20917
0,0.0026,23878
0,0.0027,17340
0,0.0027,19260
0,0.0027,25854
0,0.0027,524366
0,0.0028,29986
0,0.0029,30041
0,0.0030,23550
0,0.0031,28871
0,0.0031,81112
0,0.0033,21299
0,0.0033,23792
0,0.0034,517078
0,0.0036,28871
0,0.0037,19589
0,0.0037,21287
0,0.0037,35838
0,0.0040,18672
0,0.0040,21769
0,0.0040,27796
0,0.0040,531898
0,0.0040,533129
0,0.0044,11137
0,0.0044,23792
0,0.0046,111903
0,0.0047,10010
0,0.0047,19420
0,0.0048,18672
0,0.0048,20162
0,0.0048,29986
0,0.0050,16659
0,0.0050,17548
0,0.0050,523564
0,0.0051,10001
0,0.0051,31988
0,0.0052,12427
0,0.0054,25286
0,0.0054,31988
0,0.0055,23665
0,0.0055,31988
0,0.0056,29702
0,0.0058,21225
0,0.0058,35680
0,0.0059,12951
0,0.0059,20471
0,0.0059,23792
0,0.0059,29469
0,0.0059,34681
0,0.0061,10020
0,0.0062,12275
0,0.0063,13122
0,0.0064,10283
0,0.0065,10943
0,0.0066,10146
0,0.0066,10197
0,0.0066,10923
0,0.0066,16475
0,0.0066,19454
0,0.0067,10228
0,0.0067,16459
0,0.0069,10417
0,0.0070,10145
0,0.0070,10257
0,0.0071,10017
0,0.0071,10074
0,0.0072,10752
0,0.0073,10828
0,0.0073,11677
0,0.0075,12870
0,0.0076,10117
0,0.0076,18628
0,0.0077,10106
0,0.0077,22212
0,0.0077,531985
0,0.0081,10259
0,0.0082,532199
0,0.0083,13286
0,0.0084,10277
0,0.0084,10584
0,0.0085,12215
0,0.0085,21813
0,0.0085,523921
0,0.0086,11826
0,0.0086,527536
0,0.0087,10992
0,0.0087,524364
0,0.0088,10297
0,0.0088,10361
0,0.0089,14862
0,0.0089,23147
0,0.0089,23756
0,0.0090,11927
0,0.0090,17757
0,0.0090,800012
0,0.0091,10855
0,0.0091,16659
0,0.0091,23056
0,0.0091,531648
0,0.0092,11697
0,0.0095,10281
0,0.0096,25392
0,0.0096,95237
0,0.0096,527690
0,0.0097,10274
0,0.0097,16554
0,0.0101,10147
0,0.0101,534063
0,0.0102,519773
0,0.0103,17522
0,0.0107,10001
0,0.0108,13601
0,0.0110,24133
0,0.0110,76505
0,0.0111,36930
0,0.0111,523564
0,0.0112,10010
0,0.0112,28663
0,0.0113,10780
0,0.0113,18714
0,0.0114,342502
0,0.0114,539413
0,0.0115,12531
0,0.0116,10228
0,0.0116,16593
0,0.0118,15550
0,0.0119,919595
0,0.0121,10158
0,0.0121,12041
0,0.0121,18940
0,0.0122,11630
0,0.0124,16246
0,0.0124,521675
0,0.0125,801689
0,0.0126,14899
0,0.0126,15890
0,0.0128,10105
0,0.0128,25230
0,0.0131,12175
0,0.0134,10887
0,0.0135,48633
0,0.0136,10091
0,0.0137,11228
0,0.0137,12000
0,0.0137,800696
0,0.0137,800743
0,0.0139,13382
0,0.0140,12628
0,0.0140,800184
0,0.0140,800928
0,0.0141,10115
0,0.0141,63441
0,0.0141,75379
0,0.0141,800084
0,0.0142,11133
0,0.0142,16520
0,0.0143,10082
0,0.0146,10580
0,0.0148,10038
0,0.0150,10101
0,0.0151,11361
0,0.0152,10931
0,0.0154,10728
0,0.0156,11982
0,0.0156,800752
0,0.0157,10184
0,0.0158,10417
0,0.0161,801162
0,0.0162,10323
0,0.0162,11334
0,0.0162,801137
0,0.0168,802385
0,0.0168,802402
0,0.0169,10001
0,0.0169,805154
0,0.0171,10010
0,0.0172,800606
0,0.0173,12395
0,0.0173,800244
0,0.0173,803566
0,0.0174,10283
0,0.0174,807368
0,0.0176,10844
0,0.0177,12769
0,0.0177,800241
0,0.0178,28181
0,0.0178,801350
0,0.0179,523590
0,0.0181,800847
0,0.0182,800190
0,0.0183,801053
0,0.0184,11965
0,0.0184,805425
0,0.0185,12157
0,0.0185,801970
0,0.0186,10252
0,0.0186,11711
0,0.0187,803215
0,0.0188,800917
0,0.0195,37530
0,0.0195,800206
0,0.0195,805137
0,0.0196,10191
0,0.0197,809085
0,0.0199,10202
0,0.0200,908304
0,0.0201,801653
0,0.0203,66264
0,0.0206,800145
0,0.0207,806876
0,0.0209,11064
0,0.0209,17522
0,0.0211,10840
0,0.0211,61011
0,0.0212,806284
0,0.0212,807139
0,0.0213,800012
0,0.0214,18940
0,0.0215,800809
0,0.0216,800178
0,0.0217,12175
0,0.0218,17757
0,0.0218,801335
0,0.0220,531899
0,0.0220,800906
0,0.0222,14899
0,0.0222,800596
0,0.0222,802681
0,0.0224,801021
0,0.0224,909016
0,0.0225,48633
0,0.0225,800595
0,0.0226,521675
0,0.0228,516820
0,0.0230,65465
0,0.0230,533368
0,0.0233,534063
0,0.0236,12000
0,0.0236,75379
0,0.0236,802731
0,0.0236,803377
0,0.0237,63441
0,0.0237,524606
0,0.0237,801195
0,0.0239,11932
0,0.0239,800741
0,0.0239,802112
0,0.0239,939660
0,0.0241,800434
0,0.0241,800903
0,0.0242,806232
0,0.0244,807176
0,0.0248,803195
0,0.0249,802421
0,0.0249,908181
0,0.0252,800084
0,0.0252,800716
0,0.0252,803160
0,0.0254,10205
0,0.0255,10184
0,0.0257,21110
0,0.0257,802239
0,0.0260,801189
0,0.0260,801459
0,0.0261,805154
0,0.0262,904101
0,0.0263,10920
0,0.0263,802961
0,0.0264,801162
0,0.0267,805425
0,0.0268,22464
0,0.0268,904736
0,0.0269,804106
0,0.0271,801435
0,0.0271,905489
0,0.0275,12135
0,0.0276,803480
0,0.0277,800752
0,0.0282,801782
0,0.0282,903852
0,0.0286,802043
0,0.0287,800606
0,0.0287,802399
0,0.0291,800241
0,0.0291,800430
0,0.0293,800257
0,0.0294,800685
0,0.0294,801267
0,0.0296,800847
0,0.0297,800127
0,0.0299,801137
0,0.0302,800480
0,0.0303,814625
0,0.0304,800190
0,0.0305,10205
0,0.0308,800917
0,0.0311,807368
0,0.0317,800504
0,0.0319,801974
0,0.0337,519460
0,0.0341,801021
0,0.0343,801350
0,0.0346,800906
0,0.0390,802806
0,0.0397,924901
