trial,t,flywire_id
0,0.0000,29287
0,0.0001,23878
0,0.0003,20542
0,0.0003,515971
0,0.0004,40811
0,0.0008,29514
0,0.0009,29469
0,0.0011,129687
0,0.0012,18127
0,0.0013,31262
0,0.0016,25511
0,0.0017,24187
0,0.0019,17478
0,0.0022,29753
0,0.0023,517079
0,0.0024,17478
0,0.0024,28741
0,0.0030,19794
0,0.0030,25511
0,0.0032,24187
0,0.0033,29753
0,0.0035,19634
0,0.0036,517079
0,0.0037,30207
0,0.0040,19794
0,0.0040,129687
0,0.0048,14102
0,0.0048,22261
0,0.0048,129687
0,0.0051,16659
0,0.0051,517079
0,0.0053,11137
0,0.0053,531898
0,0.0055,10010
0,0.0056,22922
0,0.0058,10001
0,0.0063,12427
0,0.0067,12951
0,0.0069,523564
0,0.0080,10283
0,0.0081,10923
0,0.0081,13122
0,0.0084,10943
0,0.0091,10146
0,0.0092,10417
0,0.0102,531985
0,0.0103,10074
0,0.0108,12870
0,0.0110,17757
0,0.0113,800012
0,0.0116,10855
0,0.0134,17522
0,0.0135,534063
0,0.0142,11630
0,0.0154,519773
0,0.0162,18940
0,0.0167,12041
0,0.0168,800084
0,0.0173,12175
0,0.0176,12000
0,0.0185,521675
0,0.0186,63441
0,0.0196,75379
0,0.0198,800752
0,0.0203,800606
0,0.0203,801162
0,0.0207,800241
0,0.0208,12628
0,0.0212,800847
0,0.0213,801137
0,0.0214,805154
0,0.0225,800190
0,0.0228,800917
0,0.0232,10283
0,0.0249,801350
0,0.0252,807368
0,0.0257,801021
0,0.0264,800906
0,0.0271,10184
0,0.0324,10001
