trial,t,flywire_id
0,0.0000,66373
0,0.0000,96728
0,0.0001,12834
0,0.0001,33797
0,0.0002,10231
0,0.0002,10337
0,0.0002,53281
0,0.0003,96324
0,0.0003,164589
0,0.0003,201724
0,0.0004,33283
0,0.0004,96324
0,0.0005,805898
0,0.0006,93406
0,0.0007,19968
0,0.0007,69949
0,0.0008,10108
0,0.0009,59196
0,0.0009,178321
0,0.0009,805615
0,0.0010,30866
0,0.0010,58897
0,0.0010,132513
0,0.0011,28855
0,0.0011,53992
0,0.0011,147937
0,0.0012,14395
0,0.0012,86518
0,0.0012,514402
0,0.0012,542427
0,0.0013,29909
0,0.0013,178321
0,0.0013,519456
0,0.0013,533665
0,0.0014,28862
0,0.0014,67024
0,0.0015,49646
0,0.0016,10108
0,0.0016,805898
0,0.0017,60081
0,0.0017,69414
0,0.0017,86772
0,0.0017,542427
0,0.0017,805615
0,0.0018,33711
0,0.0018,45775
0,0.0018,76606
0,0.0018,139894
0,0.0022,147937
0,0.0022,178321
0,0.0022,800248
0,0.0023,10231
0,0.0024,19446
0,0.0025,129589
0,0.0026,522405
0,0.0027,48640
0,0.0029,31421
0,0.0029,99329
0,0.0029,128729
0,0.0030,13271
0,0.0030,19968
0,0.0030,21379
0,0.0030,35146
0,0.0030,49645
0,0.0030,164589
0,0.0030,907580
0,0.0031,62343
0,0.0031,98188
0,0.0031,128729
0,0.0031,581239
0,0.0033,30866
0,0.0033,66775
0,0.0033,188978
0,0.0034,48259
0,0.0035,45775
0,0.0035,48259
0,0.0036,78162
0,0.0037,818203
0,0.0038,53970
0,0.0038,86772
0,0.0039,163016
0,0.0040,541452
0,0.0041,96324
0,0.0041,139863
0,0.0042,42894
0,0.0042,800248
0,0.0043,10375
0,0.0043,19446
0,0.0043,66168
0,0.0043,93406
0,0.0043,907580
0,0.0044,10337
0,0.0044,96324
0,0.0045,53992
0,0.0046,21176
0,0.0046,21379
0,0.0046,23566
0,0.0046,904946
0,0.0047,100571
0,0.0047,132513
0,0.0047,534665
0,0.0047,820902
0,0.0048,63041
0,0.0048,76604
0,0.0048,86518
0,0.0049,24169
0,0.0049,53970
0,0.0049,139894
0,0.0050,12834
0,0.0050,39383
0,0.0051,40024
0,0.0051,41395
0,0.0051,53281
0,0.0052,96323
0,0.0052,128729
0,0.0053,28862
0,0.0054,10108
0,0.0054,21379
0,0.0054,37061
0,0.0055,33283
0,0.0055,800248
0,0.0056,10108
0,0.0056,908824
0,0.0058,64318
0,0.0058,76606
0,0.0058,815850
0,0.0058,816071
0,0.0059,110052
0,0.0060,29887
0,0.0064,19895
0,0.0064,28698
0,0.0066,10241
0,0.0070,16654
0,0.0070,35046
0,0.0072,16515
0,0.0077,521210
0,0.0079,11313
0,0.0082,18168
0,0.0084,14412
0,0.0094,22955
0,0.0094,27634
0,0.0113,35135
0,0.0119,10421
0,0.0125,533442
0,0.0158,11601
