trial,t,flywire_id
0,0.0001,34845
0,0.0003,37587
0,0.0004,25267
0,0.0004,26112
0,0.0004,38065
0,0.0005,518730
0,0.0006,20399
0,0.0007,37431
0,0.0011,30207
0,0.0011,30512
0,0.0012,20334
0,0.0013,23665
0,0.0015,30207
0,0.0016,20976
0,0.0020,18189
0,0.0022,27624
0,0.0023,20808
0,0.0023,34681
0,0.0024,20976
0,0.0024,41097
0,0.0025,519931
0,0.0025,530029
0,0.0026,17340
0,0.0026,17478
0,0.0026,34681
0,0.0027,21703
0,0.0027,23349
0,0.0028,37431
0,0.0028,37587
0,0.0028,530029
0,0.0029,30512
0,0.0031,20808
0,0.0033,29986
0,0.0034,23792
0,0.0034,31429
0,0.0035,24308
0,0.0037,25524
0,0.0037,26147
0,0.0039,18189
0,0.0039,28871
0,0.0040,17544
0,0.0040,21721
0,0.0040,27796
0,0.0040,30512
0,0.0040,30895
0,0.0041,17054
0,0.0041,27624
0,0.0041,29986
0,0.0043,531898
0,0.0044,25524
0,0.0045,20016
0,0.0046,17478
0,0.0046,25524
0,0.0046,55627
0,0.0047,25575
0,0.0047,27471
0,0.0048,18189
0,0.0048,20976
0,0.0048,26112
0,0.0048,34681
0,0.0049,10010
0,0.0049,26147
0,0.0049,31988
0,0.0050,16659
0,0.0051,11137
0,0.0051,20282
0,0.0051,23497
0,0.0054,23497
0,0.0056,17054
0,0.0056,22261
0,0.0057,35889
0,0.0058,10001
0,0.0058,25267
0,0.0058,29986
0,0.0059,16475
0,0.0062,10020
0,0.0063,12951
0,0.0063,523564
0,0.0064,10259
0,0.0064,10752
0,0.0065,10257
0,0.0066,10283
0,0.0066,12427
0,0.0067,10197
0,0.0069,10943
0,0.0069,13122
0,0.0069,19454
0,0.0070,10017
0,0.0071,10145
0,0.0073,10074
0,0.0073,10146
0,0.0074,10106
0,0.0074,16459
0,0.0075,18628
0,0.0076,10361
0,0.0076,22212
0,0.0077,10923
0,0.0078,10117
0,0.0078,12870
0,0.0080,11677
0,0.0081,532199
0,0.0083,10417
0,0.0083,10992
0,0.0084,10228
0,0.0085,10277
0,0.0085,531985
0,0.0086,11927
0,0.0087,23756
0,0.0088,10297
0,0.0088,523921
0,0.0089,14862
0,0.0090,531648
0,0.0091,10855
0,0.0091,539413
0,0.0092,10584
0,0.0092,12215
0,0.0094,17757
0,0.0094,800012
0,0.0095,10281
0,0.0096,21813
0,0.0096,519416
0,0.0097,23147
0,0.0099,10102
0,0.0099,10274
0,0.0099,13286
0,0.0099,527536
0,0.0100,13794
0,0.0104,519773
0,0.0109,527690
0,0.0110,534063
0,0.0111,24133
0,0.0112,11697
0,0.0112,17522
0,0.0112,21392
0,0.0112,36930
0,0.0118,10115
0,0.0119,18714
0,0.0119,919595
0,0.0120,16593
0,0.0120,19302
0,0.0121,15550
0,0.0121,342502
0,0.0122,28663
0,0.0123,16659
0,0.0124,12041
0,0.0125,10010
0,0.0126,801689
0,0.0128,10780
0,0.0128,11630
0,0.0132,18940
0,0.0133,16520
0,0.0134,521675
0,0.0135,14899
0,0.0135,76505
0,0.0136,25230
0,0.0139,10728
0,0.0140,12175
0,0.0140,800696
0,0.0140,800743
0,0.0142,800928
0,0.0143,800184
0,0.0144,10361
0,0.0145,800084
0,0.0146,12000
0,0.0146,75379
0,0.0148,10038
0,0.0148,11228
0,0.0148,48633
0,0.0148,63441
0,0.0149,10091
0,0.0149,11133
0,0.0150,10082
0,0.0151,10580
0,0.0153,13382
0,0.0154,10101
0,0.0155,12628
0,0.0162,10887
0,0.0162,800752
0,0.0165,801137
0,0.0167,11982
0,0.0167,801162
0,0.0168,10001
0,0.0169,28160
0,0.0172,10931
0,0.0173,10184
0,0.0174,10323
0,0.0175,10257
0,0.0175,805154
0,0.0176,800606
0,0.0176,803566
0,0.0177,10010
0,0.0178,12788
0,0.0179,807368
0,0.0181,12395
0,0.0182,800241
0,0.0182,802385
0,0.0183,801350
0,0.0184,11334
0,0.0186,10417
0,0.0186,800847
0,0.0186,801970
0,0.0187,800190
0,0.0188,10283
0,0.0188,802402
0,0.0189,10252
0,0.0190,28181
0,0.0191,10844
0,0.0191,805425
0,0.0192,523590
0,0.0193,800917
0,0.0195,800206
0,0.0195,803215
0,0.0198,11711
0,0.0201,805137
0,0.0204,801053
0,0.0205,11965
0,0.0205,12157
0,0.0206,809085
0,0.0207,10361
0,0.0213,531899
0,0.0215,37530
0,0.0218,519773
0,0.0221,10202
0,0.0222,800596
0,0.0223,10191
0,0.0224,66264
0,0.0225,14075
0,0.0226,800906
0,0.0227,801335
0,0.0229,11064
0,0.0229,801021
0,0.0231,10840
0,0.0234,801653
0,0.0236,12175
0,0.0236,18940
0,0.0236,800145
0,0.0237,61011
0,0.0240,14899
0,0.0242,10020
0,0.0242,800970
0,0.0243,806876
0,0.0245,17522
0,0.0251,800012
0,0.0252,17757
0,0.0253,48633
0,0.0253,521675
0,0.0257,75379
0,0.0262,63441
0,0.0269,10184
0,0.0273,10017
0,0.0273,801195
0,0.0273,802731
0,0.0274,10323
0,0.0277,800434
0,0.0277,800741
0,0.0277,802112
0,0.0286,800084
0,0.0287,803195
0,0.0288,524606
0,0.0289,800716
0,0.0291,800903
0,0.0291,801162
0,0.0292,803160
0,0.0292,807176
0,0.0292,908181
0,0.0296,10205
0,0.0298,805154
0,0.0302,805425
0,0.0304,802239
0,0.0305,801459
0,0.0307,800809
0,0.0314,800752
0,0.0316,904736
0,0.0319,802961
0,0.0320,12135
0,0.0321,800606
0,0.0324,904101
0,0.0326,800241
0,0.0326,804106
0,0.0327,800430
0,0.0328,802399
